    µm         	 V
   0.000	  -1.308
   0.006	  -1.284
   0.012	  -1.275
   0.018	  -1.255
   0.023	  -1.242
   0.029	  -1.242
   0.035	  -1.232
   0.041	  -1.235
   0.047	  -1.230
   0.053	  -1.229
   0.059	  -1.230
   0.064	  -1.232
   0.070	  -1.237
   0.076	  -1.233
   0.082	  -1.241
   0.088	  -1.236
   0.094	  -1.239
   0.100	  -1.229
   0.105	  -1.219
   0.111	  -1.214
   0.117	  -1.203
   0.123	  -1.200
   0.129	  -1.192
   0.135	  -1.200
   0.141	  -1.194
   0.146	  -1.204
   0.152	  -1.206
   0.158	  -1.211
   0.164	  -1.206
   0.170	  -1.198
   0.176	  -1.208
   0.182	  -1.199
   0.188	  -1.194
   0.193	  -1.189
   0.199	  -1.187
   0.205	  -1.179
   0.211	  -1.180
   0.217	  -1.179
   0.223	  -1.176
   0.229	  -1.179
   0.234	  -1.180
   0.240	  -1.180
   0.246	  -1.173
   0.252	  -1.178
   0.258	  -1.173
   0.264	  -1.176
   0.270	  -1.173
   0.275	  -1.173
   0.281	  -1.170
   0.287	  -1.167
   0.293	  -1.164
   0.299	  -1.170
   0.305	  -1.159
   0.311	  -1.164
   0.316	  -1.166
   0.322	  -1.170
   0.328	  -1.164
   0.334	  -1.166
   0.340	  -1.171
   0.346	  -1.156
   0.352	  -1.164
   0.357	  -1.157
   0.363	  -1.165
   0.369	  -1.166
   0.375	  -1.156
   0.381	  -1.166
   0.387	  -1.149
   0.393	  -1.158
   0.398	  -1.151
   0.404	  -1.158
   0.410	  -1.155
   0.416	  -1.157
   0.422	  -1.154
   0.428	  -1.147
   0.434	  -1.160
   0.439	  -1.148
   0.445	  -1.155
   0.451	  -1.149
   0.457	  -1.156
   0.463	  -1.152
   0.469	  -1.153
   0.475	  -1.151
   0.480	  -1.148
   0.486	  -1.153
   0.492	  -1.154
   0.498	  -1.159
   0.504	  -1.157
   0.510	  -1.154
   0.516	  -1.155
   0.521	  -1.145
   0.527	  -1.146
   0.533	  -1.151
   0.539	  -1.140
   0.545	  -1.150
   0.551	  -1.140
   0.557	  -1.156
   0.562	  -1.150
   0.568	  -1.143
   0.574	  -1.157
   0.580	  -1.137
   0.586	  -1.152
   0.592	  -1.137
   0.598	  -1.152
   0.604	  -1.146
   0.609	  -1.147
   0.615	  -1.147
   0.621	  -1.139
   0.627	  -1.148
   0.633	  -1.145
   0.639	  -1.146
   0.645	  -1.150
   0.650	  -1.144
   0.656	  -1.143
   0.662	  -1.148
   0.668	  -1.136
   0.674	  -1.152
   0.680	  -1.134
   0.686	  -1.146
   0.691	  -1.137
   0.697	  -1.139
   0.703	  -1.138
   0.709	  -1.142
   0.715	  -1.144
   0.721	  -1.137
   0.727	  -1.150
   0.732	  -1.133
   0.738	  -1.148
   0.744	  -1.140
   0.750	  -1.140
   0.756	  -1.145
   0.762	  -1.143
   0.768	  -1.147
   0.773	  -1.139
   0.779	  -1.143
   0.785	  -1.143
   0.791	  -1.141
   0.797	  -1.147
   0.803	  -1.143
   0.809	  -1.141
   0.814	  -1.146
   0.820	  -1.141
   0.826	  -1.142
   0.832	  -1.129
   0.838	  -1.145
   0.844	  -1.137
   0.850	  -1.140
   0.855	  -1.150
   0.861	  -1.141
   0.867	  -1.151
   0.873	  -1.137
   0.879	  -1.148
   0.885	  -1.138
   0.891	  -1.141
   0.896	  -1.142
   0.902	  -1.145
   0.908	  -1.148
   0.914	  -1.137
   0.920	  -1.145
   0.926	  -1.130
   0.932	  -1.145
   0.937	  -1.137
   0.943	  -1.147
   0.949	  -1.141
   0.955	  -1.139
   0.961	  -1.137
   0.967	  -1.142
   0.973	  -1.137
   0.979	  -1.144
   0.984	  -1.148
   0.990	  -1.135
   0.996	  -1.153
   1.002	  -1.134
   1.008	  -1.152
   1.014	  -1.134
   1.020	  -1.148
   1.025	  -1.138
   1.031	  -1.145
   1.037	  -1.143
   1.043	  -1.135
   1.049	  -1.150
   1.055	  -1.133
   1.061	  -1.146
   1.066	  -1.137
   1.072	  -1.137
   1.078	  -1.146
   1.084	  -1.137
   1.090	  -1.142
   1.096	  -1.138
   1.102	  -1.137
   1.107	  -1.139
   1.113	  -1.133
   1.119	  -1.141
   1.125	  -1.133
   1.131	  -1.139
   1.137	  -1.135
   1.143	  -1.139
   1.148	  -1.134
   1.154	  -1.138
   1.160	  -1.145
   1.166	  -1.130
   1.172	  -1.137
   1.178	  -1.128
   1.184	  -1.135
   1.189	  -1.134
   1.195	  -1.138
   1.201	  -1.135
   1.207	  -1.125
   1.213	  -1.128
   1.219	  -1.128
   1.225	  -1.127
   1.230	  -1.131
   1.236	  -1.125
   1.242	  -1.136
   1.248	  -1.123
   1.254	  -1.117
   1.260	  -1.124
   1.266	  -1.115
   1.271	  -1.127
   1.277	  -1.113
   1.283	  -1.124
   1.289	  -1.108
   1.295	  -1.114
   1.301	  -1.117
   1.307	  -1.114
   1.313	  -1.120
   1.318	  -1.115
   1.324	  -1.124
   1.330	  -1.109
   1.336	  -1.122
   1.342	  -1.107
   1.348	  -1.117
   1.354	  -1.102
   1.359	  -1.113
   1.365	  -1.105
   1.371	  -1.110
   1.377	  -1.110
   1.383	  -1.104
   1.389	  -1.110
   1.395	  -1.103
   1.400	  -1.105
   1.406	  -1.097
   1.412	  -1.100
   1.418	  -1.090
   1.424	  -1.094
   1.430	  -1.094
   1.436	  -1.097
   1.441	  -1.095
   1.447	  -1.087
   1.453	  -1.086
   1.459	  -1.085
   1.465	  -1.084
   1.471	  -1.086
   1.477	  -1.086
   1.482	  -1.082
   1.488	  -1.084
   1.494	  -1.079
   1.500	  -1.082
   1.506	  -1.068
   1.512	  -1.081
   1.518	  -1.076
   1.523	  -1.083
   1.529	  -1.066
   1.535	  -1.072
   1.541	  -1.065
   1.547	  -1.068
   1.553	  -1.065
   1.559	  -1.061
   1.564	  -1.063
   1.570	  -1.064
   1.576	  -1.069
   1.582	  -1.057
   1.588	  -1.067
   1.594	  -1.051
   1.600	  -1.057
   1.605	  -1.053
   1.611	  -1.045
   1.617	  -1.053
   1.623	  -1.043
   1.629	  -1.052
   1.635	  -1.044
   1.641	  -1.041
   1.646	  -1.035
   1.652	  -1.033
   1.658	  -1.038
   1.664	  -1.023
   1.670	  -1.033
   1.676	  -1.032
   1.682	  -1.023
   1.688	  -1.028
   1.693	  -1.012
   1.699	  -1.026
   1.705	  -1.014
   1.711	  -1.009
   1.717	  -1.014
   1.723	  -1.012
   1.729	  -1.009
   1.734	  -1.006
   1.740	  -1.007
   1.746	  -1.000
   1.752	  -0.995
   1.758	  -0.994
   1.764	  -0.992
   1.770	  -0.997
   1.775	  -0.988
   1.781	  -0.988
   1.787	  -1.000
   1.793	  -0.979
   1.799	  -0.996
   1.805	  -0.973
   1.811	  -0.985
   1.816	  -0.989
   1.822	  -0.973
   1.828	  -0.983
   1.834	  -0.959
   1.840	  -0.988
   1.846	  -0.962
   1.852	  -0.980
   1.857	  -0.963
   1.863	  -0.974
   1.869	  -0.975
   1.875	  -0.967
   1.881	  -0.977
   1.887	  -0.972
   1.893	  -0.973
   1.898	  -0.973
   1.904	  -0.971
   1.910	  -0.961
   1.916	  -0.965
   1.922	  -0.960
   1.928	  -0.960
   1.934	  -0.954
   1.939	  -0.957
   1.945	  -0.953
   1.951	  -0.951
   1.957	  -0.941
   1.963	  -0.945
   1.969	  -0.943
   1.975	  -0.950
   1.980	  -0.950
   1.986	  -0.952
   1.992	  -0.940
   1.998	  -0.943
   2.004	  -0.944
   2.010	  -0.936
   2.016	  -0.943
   2.021	  -0.934
   2.027	  -0.937
   2.033	  -0.924
   2.039	  -0.940
   2.045	  -0.918
   2.051	  -0.934
   2.057	  -0.915
   2.063	  -0.923
   2.068	  -0.917
   2.074	  -0.909
   2.080	  -0.920
   2.086	  -0.900
   2.092	  -0.916
   2.098	  -0.895
   2.104	  -0.903
   2.109	  -0.889
   2.115	  -0.891
   2.121	  -0.888
   2.127	  -0.887
   2.133	  -0.880
   2.139	  -0.889
   2.145	  -0.876
   2.150	  -0.868
   2.156	  -0.871
   2.162	  -0.862
   2.168	  -0.864
   2.174	  -0.845
   2.180	  -0.858
   2.186	  -0.845
   2.191	  -0.850
