    µm         	mV
   0.000	-913.875
   0.006	-887.625
   0.012	-876.000
   0.018	-858.375
   0.023	-846.000
   0.029	-842.625
   0.035	-833.250
   0.041	-807.375
   0.047	-811.875
   0.053	-809.250
   0.059	-795.375
   0.064	-798.375
   0.070	-795.000
   0.076	-802.125
   0.082	-800.625
   0.088	-804.375
   0.094	-790.875
   0.100	-793.875
   0.105	-789.000
   0.111	-784.500
   0.117	-778.875
   0.123	-769.875
   0.129	-772.125
   0.135	-757.875
   0.141	-763.875
   0.146	-765.750
   0.152	-771.750
   0.158	-778.125
   0.164	-773.625
   0.170	-779.250
   0.176	-771.750
   0.182	-768.750
   0.188	-772.875
   0.193	-757.500
   0.199	-760.125
   0.205	-748.875
   0.211	-751.125
   0.217	-762.375
   0.223	-753.375
   0.229	-760.500
   0.234	-757.500
   0.240	-759.750
   0.246	-758.625
   0.252	-754.500
   0.258	-762.375
   0.264	-748.500
   0.270	-747.750
   0.275	-745.125
   0.281	-741.375
   0.287	-756.375
   0.293	-736.125
   0.299	-754.500
   0.305	-742.125
   0.311	-742.125
   0.316	-753.000
   0.322	-737.625
   0.328	-759.750
   0.334	-731.625
   0.340	-750.000
   0.346	-736.125
   0.352	-738.000
   0.357	-744.375
   0.363	-734.250
   0.369	-751.125
   0.375	-730.500
   0.381	-756.000
   0.387	-732.750
   0.393	-743.250
   0.398	-735.375
   0.404	-739.125
   0.410	-742.125
   0.416	-734.625
   0.422	-742.875
   0.428	-735.000
   0.434	-743.625
   0.439	-745.875
   0.445	-735.000
   0.451	-750.000
   0.457	-740.625
   0.463	-747.000
   0.469	-744.000
   0.475	-735.000
   0.480	-756.000
   0.486	-736.125
   0.492	-751.125
   0.498	-736.125
   0.504	-742.875
   0.510	-744.375
   0.516	-739.500
   0.521	-743.625
   0.527	-732.750
   0.533	-738.375
   0.539	-739.875
   0.545	-732.375
   0.551	-742.125
   0.557	-732.000
   0.562	-738.000
   0.568	-738.375
   0.574	-736.125
   0.580	-739.500
   0.586	-733.875
   0.592	-744.375
   0.598	-734.250
   0.604	-741.000
   0.609	-729.375
   0.615	-744.750
   0.621	-736.500
   0.627	-741.000
   0.633	-739.875
   0.639	-734.625
   0.645	-741.750
   0.650	-739.875
   0.656	-745.125
   0.662	-747.375
   0.668	-743.250
   0.674	-732.000
   0.680	-742.875
   0.686	-734.250
   0.691	-744.750
   0.697	-734.625
   0.703	-748.500
   0.709	-746.625
   0.715	-751.875
   0.721	-745.500
   0.727	-736.875
   0.732	-748.875
   0.738	-737.250
   0.744	-739.500
   0.750	-741.750
   0.756	-739.125
   0.762	-741.000
   0.768	-733.875
   0.773	-742.125
   0.779	-748.125
   0.785	-748.875
   0.791	-748.500
   0.797	-741.750
   0.803	-752.250
   0.809	-741.750
   0.814	-744.375
   0.820	-746.250
   0.826	-736.500
   0.832	-741.000
   0.838	-739.875
   0.844	-742.500
   0.850	-736.125
   0.855	-745.125
   0.861	-739.875
   0.867	-749.250
   0.873	-740.625
   0.879	-745.125
   0.885	-740.250
   0.891	-735.000
   0.896	-746.625
   0.902	-737.250
   0.908	-752.250
   0.914	-740.250
   0.920	-748.125
   0.926	-737.250
   0.932	-737.250
   0.937	-741.000
   0.943	-735.750
   0.949	-745.500
   0.955	-734.250
   0.961	-740.625
   0.967	-741.000
   0.973	-733.875
   0.979	-741.000
   0.984	-737.250
   0.990	-745.125
   0.996	-735.375
   1.002	-738.750
   1.008	-738.000
   1.014	-732.000
   1.020	-748.875
   1.025	-735.000
   1.031	-741.750
   1.037	-736.125
   1.043	-725.625
   1.049	-737.625
   1.055	-731.625
   1.061	-743.250
   1.066	-738.000
   1.072	-736.875
   1.078	-739.125
   1.084	-735.375
   1.090	-734.250
   1.096	-733.875
   1.102	-737.625
   1.107	-728.625
   1.113	-736.125
   1.119	-740.250
   1.125	-732.000
   1.131	-735.000
   1.137	-726.000
   1.143	-737.625
   1.148	-735.000
   1.154	-740.250
   1.160	-740.625
   1.166	-731.625
   1.172	-730.125
   1.178	-721.500
   1.184	-736.125
   1.189	-726.000
   1.195	-737.250
   1.201	-730.500
   1.207	-734.250
   1.213	-729.000
   1.219	-726.000
   1.225	-727.875
   1.230	-733.500
   1.236	-735.375
   1.242	-728.625
   1.248	-734.250
   1.254	-721.500
   1.260	-729.375
   1.266	-719.625
   1.271	-732.000
   1.277	-720.000
   1.283	-724.875
   1.289	-730.125
   1.295	-712.875
   1.301	-726.750
   1.307	-714.375
   1.313	-718.125
   1.318	-721.875
   1.324	-712.875
   1.330	-719.250
   1.336	-701.250
   1.342	-720.000
   1.348	-708.750
   1.354	-706.875
   1.359	-713.625
   1.365	-703.125
   1.371	-717.375
   1.377	-697.500
   1.383	-712.125
   1.389	-705.375
   1.395	-702.000
   1.400	-711.375
   1.406	-692.625
   1.412	-705.000
   1.418	-696.000
   1.424	-697.875
   1.430	-697.875
   1.436	-695.625
   1.441	-694.500
   1.447	-693.375
   1.453	-688.500
   1.459	-693.375
   1.465	-686.250
   1.471	-698.250
   1.477	-681.375
   1.482	-696.750
   1.488	-676.500
   1.494	-689.625
   1.500	-687.750
   1.506	-679.875
   1.512	-691.500
   1.518	-677.625
   1.523	-690.375
   1.529	-672.750
   1.535	-671.625
   1.541	-671.250
   1.547	-676.875
   1.553	-667.125
   1.559	-676.500
   1.564	-661.500
   1.570	-676.125
   1.576	-659.250
   1.582	-672.000
   1.588	-656.625
   1.594	-660.375
   1.600	-665.250
   1.605	-657.750
   1.611	-660.000
   1.617	-654.000
   1.623	-660.375
   1.629	-646.500
   1.635	-655.875
   1.641	-653.625
   1.646	-650.250
   1.652	-649.875
   1.658	-645.000
   1.664	-640.875
   1.670	-657.375
   1.676	-630.750
   1.682	-649.875
   1.688	-631.500
   1.693	-635.625
   1.699	-629.625
   1.705	-627.375
   1.711	-631.500
   1.717	-620.250
   1.723	-635.250
   1.729	-620.250
   1.734	-629.250
   1.740	-622.125
   1.746	-613.500
   1.752	-621.375
   1.758	-608.250
   1.764	-613.125
   1.770	-610.875
   1.775	-598.125
   1.781	-610.875
   1.787	-597.750
   1.793	-605.625
   1.799	-596.625
   1.805	-596.625
   1.811	-600.000
   1.816	-588.375
   1.822	-611.625
   1.828	-580.500
   1.834	-592.125
   1.840	-585.000
   1.846	-587.625
   1.852	-588.750
   1.857	-578.250
   1.863	-580.875
   1.869	-576.000
   1.875	-573.750
   1.881	-573.000
   1.887	-563.625
   1.893	-565.125
   1.898	-566.625
   1.904	-572.625
   1.910	-568.875
   1.916	-561.000
   1.922	-567.375
   1.928	-559.500
   1.934	-567.750
   1.939	-552.000
   1.945	-557.625
   1.951	-557.625
   1.957	-554.250
   1.963	-554.625
   1.969	-544.125
   1.975	-549.000
   1.980	-555.375
   1.986	-536.625
   1.992	-550.500
   1.998	-530.250
   2.004	-553.125
   2.010	-530.625
   2.016	-541.125
   2.021	-534.750
   2.027	-530.250
   2.033	-532.500
   2.039	-522.750
   2.045	-532.875
   2.051	-522.000
   2.057	-516.750
   2.063	-537.375
   2.068	-510.375
   2.074	-529.125
   2.080	-518.250
   2.086	-516.000
   2.092	-526.125
   2.098	-494.250
   2.104	-516.000
   2.109	-495.000
   2.115	-522.375
   2.121	-495.375
   2.127	-512.250
   2.133	-500.250
   2.139	-493.500
   2.145	-493.500
   2.150	-481.875
   2.156	-491.250
   2.162	-473.250
   2.168	-484.875
   2.174	-481.875
   2.180	-479.625
   2.186	-464.625
   2.191	-472.125
   2.197	-466.125
   2.203	-471.000
   2.209	-456.000
   2.215	-459.375
   2.221	-456.750
   2.227	-454.125
   2.232	-451.875
   2.238	-447.000
   2.244	-448.125
   2.250	-443.625
   2.256	-431.625
   2.262	-435.000
   2.268	-417.375
   2.273	-429.750
   2.279	-414.000
   2.285	-428.625
   2.291	-408.750
   2.297	-423.375
   2.303	-404.625
   2.309	-409.500
   2.314	-405.000
   2.320	-395.250
   2.326	-405.750
   2.332	-397.500
   2.338	-397.500
   2.344	-388.875
   2.350	-381.750
   2.355	-376.500
   2.361	-377.250
   2.367	-379.875
   2.373	-363.750
   2.379	-367.125
   2.385	-359.625
   2.391	-360.750
   2.396	-358.125
   2.402	-344.625
   2.408	-356.250
   2.414	-345.000
   2.420	-349.500
   2.426	-336.000
   2.432	-333.000
   2.438	-323.625
   2.443	-321.375
   2.449	-318.750
   2.455	-318.000
   2.461	-318.750
   2.467	-313.875
   2.473	-306.375
   2.479	-299.625
   2.484	-297.375
   2.490	-289.500
   2.496	-290.250
   2.502	-280.875
   2.508	-288.750
   2.514	-280.875
   2.520	-283.125
   2.525	-271.500
   2.531	-273.000
   2.537	-259.125
   2.543	-271.875
   2.549	-254.250
   2.555	-244.125
   2.561	-255.000
   2.566	-234.375
   2.572	-242.625
   2.578	-230.250
   2.584	-224.250
   2.590	-233.625
   2.596	-206.250
   2.602	-222.750
   2.607	-202.500
   2.613	-214.125
   2.619	-211.875
   2.625	-187.125
   2.631	-205.875
   2.637	-183.750
   2.643	-194.625
   2.648	-180.375
   2.654	-176.625
   2.660	-174.375
   2.666	-168.750
   2.672	-174.000
   2.678	-143.625
   2.684	-154.500
   2.689	-140.625
   2.695	-138.750
   2.701	-144.000
   2.707	-122.250
   2.713	-134.625
   2.719	-113.625
   2.725	-119.625
   2.730	-106.500
   2.736	-101.625
   2.742	-107.250
   2.748	 -91.125
   2.754	-111.000
   2.760	 -85.500
   2.766	 -85.875
   2.771	 -85.125
   2.777	 -67.125
   2.783	 -81.750
   2.789	 -50.250
   2.795	 -77.625
   2.801	 -42.000
   2.807	 -60.000
   2.813	 -44.625
   2.818	 -27.375
   2.824	 -46.125
   2.830	 -17.250
   2.836	 -31.875
   2.842	 -15.750
   2.848	 -16.125
   2.854	  -9.000
   2.859	  -4.500
   2.865	   0.000
   2.871	   4.500
   2.877	  -0.375
   2.883	   8.625
   2.889	  17.625
   2.895	  11.625
   2.900	  37.500
   2.906	  25.500
   2.912	  32.250
   2.918	  43.875
   2.924	  46.125
   2.930	  58.875
   2.936	  59.250
   2.941	  69.375
   2.947	  65.625
   2.953	  68.250
   2.959	  80.625
   2.965	  68.625
   2.971	  87.750
   2.977	  88.875
   2.982	 105.375
